"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C13","2","2.2μF","","","","Capacitor_THT:C_Rect_L19.0mm_W5.0mm_P15.00mm_MKS4","~"
"C2","1","100nF","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C3","1","2.2nF","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C4","1","22pF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C5,C7,C10","3","10μF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C6,C8,C9","3","0.1μF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C11","1","15nF","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C12","1","22nF","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"J1,J3","2","AudioJack3_Ground","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","~"
"J2","1","Conn_01x02","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"R1,R2","2","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3,R7","2","5k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R4,R8","2","2.8k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5","1","22k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6","1","4.7k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R9,R10,R12,R14","4","47k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R11,R13","2","3.6k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R15","1","15k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R16,R17,R18","3","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV1,RV2,RV3","3","10k","","","","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","~"
"U1,U2","2","OPA1656ID","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/opa1656.pdf"
